,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
75,"SNEH CREATION Waist Reducer, Pull Rope Exerciser Ab Exe...",₹369,"₹1,455",74% off,3.4,(25),"Sports, Fitness, and Outdoor",Sports Equipment,SNEH
76,Revoflex Xtreme revo abs core Ab Exerciser,₹475,₹999,52% off,3.4,(8),"Sports, Fitness, and Outdoor",Sports Equipment,Revoflex
77,TS Today Sports Men and Women Perfect 4 in 1 Magnetic T...,₹298,₹816,63% off,4.1,(10),"Sports, Fitness, and Outdoor",Sports Equipment,TS
78,SHIVAM SPORTS Flat Fitness Bench,"₹1,749","₹2,500",30% off,4.1,(35),"Sports, Fitness, and Outdoor",Sports Equipment,SHIVAM
79,HMFURRYS FINEST Sports Duffle Bag with 500 ml Shaker an...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
80,HMFURRYS FINEST Sports & Gym Duffle Bag with 500ml Shak...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
81,HMFURRYS FINEST Sports Duffle Bag with 500ml Shaker Bot...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
82,HMFURRYS FINEST Sports & Fitness Duffle Bag with 500 ml...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
83,HMFURRYS FINEST Sports & Gym Duffle Bag with weight lif...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
84,Proactive Sports & Fitness Adjustable Hand Grip & Skipp...,₹285,₹999,71% off,3,(7),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
85,Proactive Sports & Fitness Dip / Push Up Stand & Jump R...,₹344,₹999,65% off,3.7,(26),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
86,VIVAAN Acupressure Kit for Your better Health Fitness A...,₹425,₹798,46% off,3.5,(11),"Sports, Fitness, and Outdoor",Sports Equipment,VIVAAN
87,"FY Sports 2 in 1 Twisting Waist Disc, Body Shaping Twis...",₹299,₹699,57% off,4,(78),"Sports, Fitness, and Outdoor",Sports Equipment,FY
88,CF SPORTS waight loss tummy trimmer home workout equipm...,₹295,₹899,67% off,4.1,(7),"Sports, Fitness, and Outdoor",Sports Equipment,CF
89,APPS SPORTS Ab Roller Wheel with 2 Configurable Wheels ...,₹207,₹499,58% off,3.8,(47),"Sports, Fitness, and Outdoor",Sports Equipment,APPS
90,BK SPORTS Leg Machines Pedal Rally Sit Up Elastic Tummy...,₹375,₹899,58% off,4,(5),"Sports, Fitness, and Outdoor",Sports Equipment,BK
91,Active Sports & Fitness Arena AIRBIKE AC-01 Dual-Action...,"₹6,999","₹12,999",46% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Active
92,DCS Pro 40 kg FITNESS PVC DUMBBELL KIT + 5Ft.Straight +...,"₹3,699","₹5,999",38% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,DCS
93,Gourav ENCOURAGING 2 SKIPPING ROPES AND 1 HAND GRIPPER ...,₹298,₹500,40% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,Gourav
94,HMFURRYS FINEST Sports Duffle Bag with Gym Gloves and 5...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
95,"5 O' CLOCK SPORTS Let The Gains Begin (Red) Gym Bag, an...",₹539,"₹1,000",46% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,5
96,"L'AVENIR Sports & Fitness combo of Chest Expander, Dip ...",₹521,"₹1,299",59% off,4,(1),"Sports, Fitness, and Outdoor",Sports Equipment,L'AVENIR
97,"TRUE INDIAN Gym Bag Combo with shaker Bottle,2IN1 Glove...",₹759,₹999,24% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,TRUE
98,"Proactive Sports & Fitness Push Up Bar, Adjustable Hand...",₹494,"₹1,399",64% off,4.3,(3),"Sports, Fitness, and Outdoor",Sports Equipment,Proactive
99,HMFURRYS FINEST Sports & Fitness Bag with weight liftin...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
100,HMFURRYS FINEST Sports & Fitness Gym Bag with 500 ml Sh...,₹699,₹899,22% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,HMFURRYS
101,DIBACO SPORTS DOUBLE SPRING FULL BODY FITNESS EQUIPMENT...,₹290,₹954,69% off,3.8,(6),"Sports, Fitness, and Outdoor",Sports Equipment,DIBACO
102,OSPO SPORTS Tummy Twister Rotating Massage Board for Ac...,₹379,₹480,21% off,,,"Sports, Fitness, and Outdoor",Sports Equipment,OSPO
