,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
96,DIGITRENDS Crystal Bluetooth tws earbuds with 40 Hrs Ba...,₹699,"₹3,999",82% off,5,(4),Electronics,Headphones,DIGITRENDS
97,Flexnest Flexdubs True Wireless Earbuds Bluetooth,"₹1,299","₹9,999",87% off,3,(11),Electronics,Headphones,Flexnest
98,PROWARP PRODART Original EHS61 Deep Bass with Sound Can...,₹254,₹699,63% off,4,"(25,305)",Electronics,Headphones,PROWARP
99,"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","₹1,299","₹2,999",56% off,4.1,"(1,05,398)",Electronics,Headphones,Boult
100,"Voods V Collar - Active, 130 Hrs Playback, IP65 - Water...",₹749,"₹3,499",78% off,3.3,(4),Electronics,Headphones,Voods
101,Hammer Aero Max ENC + ANC earbuds TWS with Clear Callin...,"₹1,499","₹5,999",75% off,3.9,(89),Electronics,Headphones,Hammer
102,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",₹999,"₹3,499",71% off,4,"(76,397)",Electronics,Headphones,Noise
103,"Boult Rcharge with 30Hrs Playtime, ENC mic, Dual Device...",₹699,"₹1,799",61% off,4,"(15,385)",Electronics,Headphones,Boult
104,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,299","₹3,499",62% off,4.1,"(96,714)",Electronics,Headphones,Boult
105,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",₹698,"₹3,999",82% off,4,"(44,163)",Electronics,Headphones,HOPPUP
106,"Number Super Buds 999 40dB ANC Gaming TWS Earbuds,4 Mic...","₹1,099","₹7,999",86% off,3.8,"(2,200)",Electronics,Headphones,Number
107,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,099","₹3,499",68% off,4,"(9,961)",Electronics,Headphones,truke
108,Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,₹450,"₹2,499",81% off,3.9,"(2,72,836)",Electronics,Headphones,Aroma
109,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...",₹999,"₹3,990",74% off,3.9,"(71,864)",Electronics,Headphones,boAt
110,"Voods V Collar - Pro With 5 Different Voice Modes,IP65 ...","₹1,349","₹5,549",75% off,,,Electronics,Headphones,Voods
111,TecSox Alpha Smart Wireless Earbuds| IPX| 40hrs Best Lo...,"₹1,399","₹5,999",76% off,5,(16),Electronics,Headphones,TecSox
112,"Boult Astra Neo 70Hrs Playtime, 4 Mic ENC, BT 5.4, 40ms...",₹999,"₹3,499",71% off,4.1,"(22,491)",Electronics,Headphones,Boult
113,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","₹1,899","₹9,990",80% off,4.1,"(89,576)",Electronics,Headphones,boAt
114,OnePlus E305A / E305B Bluetooth,"₹1,799","₹2,299",21% off,4.3,"(10,61,535)",Electronics,Headphones,OnePlus
115,boAt BassHeads 220 Super Extra Bass Wired,₹699,₹999,30% off,4.2,"(9,04,850)",Electronics,Headphones,boAt
116,"ERRAYNIX Atom Pro with 29 Hr Playtime,Quad Mic ENC,Deep...",₹696,"₹2,999",76% off,4.8,(5),Electronics,Headphones,ERRAYNIX
117,"Microflash Bluetooth Neckband Q32 50Hrs Battery, Deep B...",₹399,"₹1,999",80% off,3.6,(85),Electronics,Headphones,Microflash
118,"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...","₹1,199","₹3,999",70% off,3.9,"(94,095)",Electronics,Headphones,Noise
119,"boAt Rockerz 255 Z Plus w/ AI ENx Tech, Spatial Audio, ...","₹1,299","₹4,490",71% off,4.2,"(4,36,669)",Electronics,Headphones,boAt
120,"TMB Engage TWS Buds 25hrs Playtime, BT5.3, ENC Mic, Fas...",₹575,"₹1,999",71% off,3.3,(3),Electronics,Headphones,TMB
121,MadRabbit DYNO Jet Buds Bluetooth,"₹1,019","₹5,499",81% off,3.6,(23),Electronics,Headphones,MadRabbit
122,"truke BTG Flex buds with Dual Pairing, 60Hrs Battery, H...",₹999,"₹3,499",71% off,4.2,"(1,318)",Electronics,Headphones,truke
123,"boAt Rockerz 430 w/ Beast Mode(40ms Low Latency),40HRS ...","₹1,299","₹2,490",47% off,4.6,(101),Electronics,Headphones,boAt
