,Unnamed: 0,Product,Price,Original Price,Discount,Rating,Rating & reviews,Category,Sub category,brand
52,52,Pheonix Fabric Loop Hip Band-Resistance Band for Women ...,₹359,"₹1,499",76% off,3.7,(20),"Sports, Fitness, and Outdoor",Yoga Accessories,Pheonix
53,53,A-TAPE 5-Level Resistance Tube Set for Strengthening an...,"₹1,099","₹2,999",63% off,3.6,(89),"Sports, Fitness, and Outdoor",Yoga Accessories,A-TAPE
54,54,QUICK FIT Soft Yoga Chest Expander Resistance Tube,₹264,₹999,73% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,QUICK
55,55,Daizicreation (Tube) Body Workout Home Gym & Toning Tub...,₹150,₹683,78% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,Daizicreation
56,56,"sheetal traders Abdominal Binder , Postnatal Pregnancy ...",₹279,₹999,72% off,3.9,"(1,318)","Sports, Fitness, and Outdoor",Yoga Accessories,sheetal
57,57,DreamPalace India Sweat Headband & Wrist Band Fitness B...,₹198,₹795,75% off,3.4,(10),"Sports, Fitness, and Outdoor",Yoga Accessories,DreamPalace
58,58,"MAYOR Premium Back Brace, Pain Relief belt for daily us...",₹349,"₹1,999",82% off,3.4,(21),"Sports, Fitness, and Outdoor",Yoga Accessories,MAYOR
59,59,AGEasy Comfort Lumbo Sacral Back Support Belt (Lumbar S...,₹829,"₹1,599",48% off,4.3,(59),"Sports, Fitness, and Outdoor",Yoga Accessories,AGEasy
60,60,Mjcreationhub Real Doctors Posture Support Belt Back Br...,₹297,₹999,70% off,3.2,(251),"Sports, Fitness, and Outdoor",Yoga Accessories,Mjcreationhub
61,61,BOLDFIT Ankle Support For Pain Relief Injury Ankle Grip...,₹599,"₹1,998",70% off,4.1,"(2,730)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
62,62,BOLDFIT Elbow Support Sleeve Wrap Cap Brace Elbow Guard...,₹499,₹999,50% off,4.2,"(1,207)","Sports, Fitness, and Outdoor",Yoga Accessories,BOLDFIT
63,63,Strauss Adjustable Knee Support Patella | Knee Cap | Kn...,₹449,"₹1,499",70% off,3.9,"(8,719)","Sports, Fitness, and Outdoor",Yoga Accessories,Strauss
64,64,"Glitter Arm Elbow for Cricket, Bike Riding, Cycling, Ru...",₹173,₹299,42% off,4.0,(877),"Sports, Fitness, and Outdoor",Yoga Accessories,Glitter
65,65,Aynway Wooden Dumbbells for PT | For Kids | For Warm Up...,₹490,₹499,1% off,3.7,(179),"Sports, Fitness, and Outdoor",Yoga Accessories,Aynway
66,66,"EBLOOMING Resistance Bands Set for Exercise, Stretching...",₹189,₹699,72% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,EBLOOMING
67,67,HUKBO 11Pc Resistance Bands Elastic Rubber Rope Sport E...,₹349,"₹1,500",76% off,3.8,(62),"Sports, Fitness, and Outdoor",Yoga Accessories,HUKBO
68,68,"Joyfit Adjustable Toning Tube, Exercise Tube For Workou...",₹222,"₹1,100",79% off,4.0,(174),"Sports, Fitness, and Outdoor",Yoga Accessories,Joyfit
69,69,"Flexfoece Resistance Band, Loop Band, Thera Bands for M...",₹299,₹999,70% off,3.5,(4),"Sports, Fitness, and Outdoor",Yoga Accessories,Flexfoece
70,70,"Draven Premium Fabric Loop Band/Exercises for Legs, Hip...",₹549,₹999,45% off,,,"Sports, Fitness, and Outdoor",Yoga Accessories,Draven
71,71,PROURBAN (L.S Belt) Corset- Back Pain Belt Unisex Back ...,₹299,₹999,70% off,4.1,(318),"Sports, Fitness, and Outdoor",Yoga Accessories,PROURBAN
72,72,A-TAPE Exercise Sports Loop Band | Xx-heavy & X-Heavy (...,₹493,"₹1,465",66% off,4.4,(371),"Sports, Fitness, and Outdoor",Yoga Accessories,A-TAPE
73,73,"FITSY Pilates, Yoga & Fitness Workout Resistance Band",₹799,"₹1,799",55% off,4.2,(777),"Sports, Fitness, and Outdoor",Yoga Accessories,FITSY
74,74,ArrowMax PROFESSIONAL PULL UP/LOOP/RESISTANCE BAND Resi...,₹390,"₹1,080",63% off,4.3,(405),"Sports, Fitness, and Outdoor",Yoga Accessories,ArrowMax
75,75,Zoi-Ortho Lumbosacral belt used for back pain for spina...,₹349,₹699,50% off,4.1,(130),"Sports, Fitness, and Outdoor",Yoga Accessories,Zoi-Ortho
76,76,TENDSY Fur Knee Cap/ Knee warmer/ Knee Support/Leg Warm...,₹145,₹499,70% off,4.0,"(3,390)","Sports, Fitness, and Outdoor",Yoga Accessories,TENDSY
